Metric,Experiment,Score,CI_low,CI_high
IQM,MultiQRL,0.935,0.917,0.941
IQM,One-hot MT-TD3,0.866,0.737,0.908
IQM,TD-MPC2 w/ mpc=False,0.935,0.92,0.947
Mean,MultiQRL,0.932,0.921,0.939
Mean,One-hot MT-TD3,0.84,0.761,0.898
Mean,TD-MPC2 w/ mpc=False,0.934,0.922,0.944
Median,MultiQRL,0.932,0.921,0.939
Median,One-hot MT-TD3,0.84,0.761,0.898
Median,TD-MPC2 w/ mpc=False,0.934,0.922,0.944
Optimality Gap,MultiQRL,0.068,0.061,0.079
Optimality Gap,One-hot MT-TD3,0.16,0.102,0.239
Optimality Gap,TD-MPC2 w/ mpc=False,0.066,0.056,0.078
