Metric,Experiment,Score,CI_low,CI_high
IQM,MultiQRL,0.676,0.425,0.827
IQM,W/ n-step=1,0.69,0.567,0.818
IQM,W/o CE,0.655,0.59,0.714
IQM,W/o reward model,0.602,0.461,0.681
IQM,W/o cond. LayerNorm,0.582,0.479,0.617
IQM,Cond. only encoder,0.568,0.439,0.764
IQM,Cond. only 1st layer,0.555,0.36,0.784
IQM,W/o soft-CE,0.528,0.452,0.654
IQM,W/ one-hot,0.475,0.341,0.637
IQM,W/o FSQ (& w/o CE),0.451,0.363,0.656
IQM,One-hot MT-TD3,0.674,0.518,0.778
IQM,TD-MPC2 w/ mpc=False,0.671,0.227,0.761
Mean,MultiQRL,0.643,0.487,0.787
Mean,W/ n-step=1,0.689,0.598,0.783
Mean,W/o CE,0.654,0.605,0.703
Mean,W/o reward model,0.583,0.487,0.659
Mean,W/o cond. LayerNorm,0.563,0.501,0.608
Mean,Cond. only encoder,0.583,0.468,0.72
Mean,Cond. only 1st layer,0.562,0.393,0.731
Mean,W/o soft-CE,0.543,0.469,0.621
Mean,W/ one-hot,0.483,0.376,0.593
Mean,W/o FSQ (& w/o CE),0.487,0.385,0.611
Mean,One-hot MT-TD3,0.662,0.551,0.751
Mean,TD-MPC2 w/ mpc=False,0.563,0.28,0.735
Median,MultiQRL,0.643,0.487,0.787
Median,W/ n-step=1,0.689,0.598,0.783
Median,W/o CE,0.654,0.605,0.703
Median,W/o reward model,0.583,0.487,0.659
Median,W/o cond. LayerNorm,0.563,0.501,0.608
Median,Cond. only encoder,0.583,0.468,0.72
Median,Cond. only 1st layer,0.562,0.393,0.731
Median,W/o soft-CE,0.543,0.469,0.621
Median,W/ one-hot,0.483,0.376,0.593
Median,W/o FSQ (& w/o CE),0.487,0.385,0.611
Median,One-hot MT-TD3,0.662,0.551,0.751
Median,TD-MPC2 w/ mpc=False,0.563,0.28,0.735
Optimality Gap,MultiQRL,0.357,0.213,0.513
Optimality Gap,W/ n-step=1,0.311,0.217,0.402
Optimality Gap,W/o CE,0.346,0.297,0.395
Optimality Gap,W/o reward model,0.417,0.341,0.513
Optimality Gap,W/o cond. LayerNorm,0.437,0.392,0.499
Optimality Gap,Cond. only encoder,0.417,0.28,0.532
Optimality Gap,Cond. only 1st layer,0.438,0.269,0.607
Optimality Gap,W/o soft-CE,0.457,0.379,0.531
Optimality Gap,W/ one-hot,0.517,0.407,0.624
Optimality Gap,W/o FSQ (& w/o CE),0.513,0.389,0.615
Optimality Gap,One-hot MT-TD3,0.338,0.249,0.449
Optimality Gap,TD-MPC2 w/ mpc=False,0.437,0.265,0.72
