Metric,Experiment,Score,CI_low,CI_high
IQM,MultiQRL,0.958,0.883,0.969
IQM,W/ n-step=1,0.96,0.773,0.967
IQM,W/o CE,0.947,0.865,0.958
IQM,W/o reward model,0.842,0.737,0.937
IQM,W/o cond. LayerNorm,0.913,0.682,0.963
IQM,Cond. only encoder,0.956,0.944,0.968
IQM,Cond. only 1st layer,0.96,0.955,0.966
IQM,W/o soft-CE,0.667,0.574,0.89
IQM,W/ one-hot,0.914,0.654,0.961
IQM,W/o FSQ (& w/o CE),0.9,0.724,0.948
IQM,One-hot MT-TD3,0.814,0.642,0.961
IQM,TD-MPC2 w/ mpc=False,0.791,0.216,0.948
IQM,iQRL (single-task),0.922,0.872,0.97
