Metric,Experiment,Score,CI_low,CI_high
IQM,MultiQRL,0.652,0.204,0.74
IQM,W/ n-step=1,0.684,0.628,0.747
IQM,W/o CE,0.652,0.204,0.738
IQM,W/o reward model,0.477,0.029,0.735
IQM,W/o cond. LayerNorm,0.646,0.267,0.694
IQM,Cond. only encoder,0.357,0.033,0.668
IQM,Cond. only 1st layer,0.298,0.033,0.695
IQM,W/o soft-CE,0.681,0.626,0.745
IQM,W/ one-hot,0.209,0.0,0.582
IQM,W/o FSQ (& w/o CE),0.096,0.029,0.452
IQM,One-hot MT-TD3,0.445,0.041,0.68
IQM,TD-MPC2 w/ mpc=False,0.718,0.237,0.756
IQM,iQRL (single-task),0.658,0.61,0.755
